Date,COMID,Flow_M3PerDay
2019-05-04,8831832,11701.3342958333
2019-05-05,8831832,10951.5149375
2019-05-06,8831832,10099.0475458333
2019-05-07,8831832,10399.1783375
2019-05-08,8831832,10962.5802166667
2019-05-09,8831832,9009.55963333333
2019-05-10,8831832,6498.78752083333
2019-05-11,8831832,4222.5785875
2019-05-12,8831832,3091.77249583333
2019-05-13,8831832,2660.6094375
2019-05-14,8831832,2559.84483333333
2019-05-15,8831832,2589.93589166667
2019-05-16,8831832,2731.12112083333
2019-05-17,8831832,2844.02515833333
2019-05-18,8831832,2955.04575416667
2019-05-19,8831832,2838.93395833333
2019-05-20,8831832,2399.86924583333
2019-05-21,8831832,2042.5580625
2019-05-22,8831832,1832.50916666667
2019-05-23,8831832,1673.41645416667
2019-05-24,8831832,1522.16652083333
2019-05-25,8831832,1412.08767916667
2019-05-26,8831832,1322.064625
2019-05-27,8831832,1252.34752083333
2019-05-28,8831832,1173.59575
2019-05-29,8831832,1108.74913333333
2019-05-30,8831832,1068.38737083333
2019-05-31,8831832,1033.8231
2019-06-01,8831832,1012.44299583333
2019-06-02,8831832,1019.21164583333
2019-06-03,8831832,1001.46600833333
2019-06-04,8831832,952.7170125
2019-06-05,8831832,902.746708333333
2019-06-06,8831832,899.112245833333
2019-04-28,8834912,11776.8636041667
2019-04-29,8834912,11760.9425666667
2019-04-30,8834912,12083.5717666667
2019-05-01,8834912,12407.5547083333
2019-05-02,8834912,12439.6469416667
2019-05-03,8834912,12104.2897333333
2019-05-04,8834912,11819.5355416667
2019-05-05,8834912,11480.1318458333
2019-05-06,8834912,10373.6046083333
2019-05-07,8834912,10162.2019833333
2019-05-08,8834912,10957.9157291667
2019-05-09,8834912,10120.1627916667
2019-05-10,8834912,7843.15925833333
2019-05-11,8834912,5462.28637916667
2019-05-12,8834912,3755.40925833333
2019-05-13,8834912,2938.2712625
2019-05-14,8834912,2642.73137083333
2019-05-15,8834912,2571.10139166667
2019-05-16,8834912,2649.5588875
2019-05-17,8834912,2779.44339583333
2019-05-18,8834912,2895.87890833333
2019-05-19,8834912,2959.76907916667
